Bug_ID,Title,Module,Feature,Severity,Priority,Status,Reported_By,Reported_Date,Assigned_To,Root_Cause,Resolution,Fixed_Date,Verification_Status,Build_Version
BUG_2026_001,Đăng nhập không hoạt động với ký tự đặc biệt trong mật khẩu,Authentication,Login,HIGH,P1,Resolved,QA Engineer 1,05/03/2026,Developer 1,Mật khẩu không được escape trong form submission,Encode mật khẩu trước khi gửi request,06/03/2026,Verified,v1.1
BUG_2026_002,Tìm kiếm sản phẩm chậm khi có dữ liệu lớn,Product & Cart,Search,MEDIUM,P2,Resolved,QA Engineer 2,06/03/2026,Developer 2,Database query không có index trên trường search,Thêm database index trên trường product name,07/03/2026,Verified,v1.1
BUG_2026_003,Tổng giá trong giỏ hàng tính sai khi áp dụng discount,Product & Cart,Cart,CRITICAL,P0,Resolved,QA Engineer 3,06/03/2026,Developer 1,Tính toán discount sai logic - nhân 0.5 thay vì trừ percentage,Fixed discount calculation logic in cart.js line 245,07/03/2026,Verified,v1.2.1
BUG_2026_004,Giỏ hàng không update khi xóa sản phẩm trên mobile,Product & Cart,Cart Management,HIGH,P1,In_Progress,QA Engineer 2,08/03/2026,Developer 2,Ajax call không trigger UI re-render trên Safari iOS,Fix compatibility với Safari iOS - sử dụng XHR thay vì fetch API,Pending,Pending,v1.2
BUG_2026_005,Mã khuyến mãi không được áp dụng sau khi update số lượng,Checkout,Discount Code,MEDIUM,P2,Resolved,QA Engineer 1,08/03/2026,Developer 3,Cart quantity update không gọi recalculate discount function,Fixed updateQuantity để gọi applyDiscount khi quantity thay đổi,09/03/2026,Verified,v1.2.1
BUG_2026_006,Email xác nhận đơn hàng gửi sai template,Checkout,Order Confirmation,MEDIUM,P2,Resolved,QA Engineer 4,08/03/2026,Developer 1,Template email reference sai trong cơ sở dữ liệu,Update email template reference trong order confirmation module,09/03/2026,Verified,v1.2
BUG_2026_007,Không thể filter sản phẩm khi danh mục có dấu cách,Product & Cart,Filter,MEDIUM,P2,Resolved,QA Engineer 3,07/03/2026,Developer 2,URL encoding issue với danh mục tên dài có dấu cách,Implement proper URL encoding cho category parameters,08/03/2026,Verified,v1.1
BUG_2026_008,Giỏ hàng bị trống sau khi thanh toán thất bại,Product & Cart,Cart,HIGH,P1,Resolved,QA Engineer 2,07/03/2026,Developer 3,Cart được clear trước khi xác nhận thanh toán thành công,Di chuyển cart clear logic sau payment confirmation,08/03/2026,Verified,v1.2
BUG_2026_009,Không thể xem order history trên mobile Safari,Checkout,Order History,MEDIUM,P2,Pending,QA Engineer 1,09/03/2026,Developer 4,JavaScript animation API không compatible với Safari iOS,Test và fix compatibility - sử dụng CSS animation fallback,In_Progress,Pending,v1.2
BUG_2026_010,Mã khuyến mãi không hiển thị giá gốc sau khi áp dụng,Checkout,Discount Code,MEDIUM,P2,Resolved,QA Engineer 4,09/03/2026,Developer 3,Giao diện chỉ hiển thị giá final mà không hiển thị giá gốc và tiền tiết kiệm,Thêm display cho original price và savings amount,10/03/2026,Verified,v1.2.1
