Req_ID,Requirement_Description,Module,TC_ID,Test_Case_Name,Status,Coverage_Type,Notes,Priority
R1,Người dùng đăng ký bằng email hợp lệ,Authentication,TC_AUTH_REG_001,Đăng ký thành công với email và mật khẩu hợp lệ,PASS,Positive Test,Email format validation,High
R2,Không cho đăng ký khi email sai định dạng,Authentication,TC_AUTH_REG_002,Không đăng ký khi email sai định dạng,PASS,Negative Test,Email validation boundary,High
R3,Mật khẩu tối thiểu 8 ký tự,Authentication,TC_AUTH_REG_003,Không đăng ký khi mật khẩu dưới 8 ký tự,PASS,Boundary Test,Password strength,High
R4,Đăng nhập thành công với thông tin hợp lệ,Authentication,TC_AUTH_LOGIN_001,Đăng nhập thành công với thông tin hợp lệ,PASS,Positive Test,Session creation,Critical
R5,Đăng nhập thất bại khi sai mật khẩu,Authentication,TC_AUTH_LOGIN_002,Đăng nhập thất bại khi sai mật khẩu,PASS,Negative Test,Error handling,High
R5,Đăng nhập thất bại khi sai mật khẩu,Authentication,TC_AUTH_LOGIN_003,Đăng nhập thất bại khi email không tồn tại,PASS,Negative Test,Non-existent user,High
R6,Quên mật khẩu gửi email đặt lại,Authentication,TC_AUTH_FP_001,Gửi email đặt lại mật khẩu thành công,PASS,Positive Test,Email notification,High
R7,Tìm kiếm hiển thị đúng kết quả,Product & Cart,TC_PROD_SEARCH_001,Tìm kiếm hiển thị đúng kết quả,PASS,Positive Test,Search functionality,High
R7,Tìm kiếm hiển thị đúng kết quả,Product & Cart,TC_PROD_SEARCH_002,Tìm kiếm không trả về kết quả,PASS,Negative Test,Empty result handling,Medium
R8,Lọc theo giá hoạt động đúng,Product & Cart,TC_PROD_FILTER_001,Lọc theo giá hoạt động đúng,PASS,Positive Test,Price range filtering,High
R9,Xem chi tiết sản phẩm,Product & Cart,TC_PROD_DETAIL_001,Xem chi tiết sản phẩm thành công,PASS,Positive Test,Product page display,High
R10,Thêm sản phẩm vào giỏ thành công,Product & Cart,TC_CART_ADD_001,Thêm sản phẩm vào giỏ thành công,PASS,Positive Test,Cart operations,Critical
R11,Cập nhật số lượng trong giỏ,Product & Cart,TC_CART_UPDATE_001,Cập nhật số lượng sản phẩm trong giỏ,PASS,Positive Test,Quantity adjustment,High
R12,Xoá sản phẩm khỏi giỏ,Product & Cart,TC_CART_DELETE_001,Xoá sản phẩm khỏi giỏ thành công,PASS,Positive Test,Cart deletion,High
R13,Thanh toán bắt buộc nhập địa chỉ,Checkout,TC_CHK_ADDRESS_001,Thanh toán bắt buộc nhập địa chỉ,PASS,Negative Test,Address validation,High
R13,Thanh toán bắt buộc nhập địa chỉ,Checkout,TC_CHK_ADDRESS_002,Nhập địa chỉ giao hàng thành công,PASS,Positive Test,Address storage,High
R14,Chọn phương thức thanh toán,Checkout,TC_CHK_PAYMENT_001,Chọn phương thức thanh toán COD thành công,PASS,Positive Test,Payment method selection,High
R14,Chọn phương thức thanh toán,Checkout,TC_CHK_PAYMENT_002,Chọn phương thức thanh toán Visa thành công,PASS,Positive Test,Visa payment flow,High
R15,Đặt hàng thành công,Checkout,TC_CHK_ORDER_001,Đặt hàng thành công,PASS,Positive Test,Order creation,Critical
R15,Đặt hàng thành công,Checkout,TC_CHK_ORDER_002,Đặt hàng thất bại khi thiếu thông tin,PASS,Negative Test,Error handling,High
R16,Lưu lịch sử đơn hàng,Checkout,TC_CHK_HISTORY_001,Xem lịch sử đơn hàng thành công,PASS,Positive Test,Order history display,High
R16,Lưu lịch sử đơn hàng,Checkout,TC_CHK_HISTORY_002,Xem chi tiết đơn hàng,PASS,Positive Test,Order detail view,High
